r[m],simulado B[T],calculado B[T]
0.1005,4976.7025e-8,0
0.2005,2493.2432e-8,0
0.3003,1664.782e-8,0
0.4009,1247.1773e-8,0
0.5005,998.9926e-8,0
0.6000,833.3363e-8,0
0.7070,707.256e-8,0
0.8008,624.3616e-8,0
