I[A],simulado B[T],calculado B[T]
1,99.0083e-8,0
5,495.0415e-8,0
10,990.083e-8,0
15,1485.1245e-8,0
20,1980.166e-8,0
25,2475.2075e-8,0
30,2970.249e-8,0
