I[A],simulado B[T],calculado B[T]
1,22.2113e-8,0
5,111.0566e-8,0
10,222.1131e-8,0
15,333.1697e-8,0
20,444.2263e-8,0
25,555.2829e-8,0
30,666.3394e-8,0
