r[m],simulado B[T],calculado B[T]
0.1005,5972.043e-8,0
0.2005,2991.8918e-8,0
0.3003,1997.7384e-8,0
0.4009,1496.6128e-8,0
0.5005,1198.7911e-8,0
0.6000,1000.0036e-8,0
0.7070,848.7072e-8,0
0.8008,749.2339e-8,0
