I[A],simulado B[T],calculado B[T]
1,39.8513e-8,0
5,199.2567e-8,0
10,398.5135e-8,0
15,597.7702e-8,0
20,797.0269e-8,0
25,996.2836e-8,0
30,1195.5404e-8,0
