I[A],V primario,V secundario
12.05,2,4.10
15.18,3.1,6.09
17.75,4.1,8.04
19.89,5.1,9.86
22.5,6.3,12.17
24.6,7.4,14.26
26.4,8.4,16.30
28.2,9.5,18.36
29.9,10.5,20.3
31.4,11.6,22.4
